x,Curve1
0.0179,7e-05
0.1061,-0.76
0.176,-1.595
0.3158,-2.221
0.5,-2.9064
0.6842,-3.5918
0.9484,-4.1775
1.2352,-4.7531
1.4338,-5.1501
1.6772,-5.5767
1.9996,-5.9832
2.3445,-6.3994
2.5776,-6.7366
2.8784,-7.0537
3.157,-7.3509
3.4362,-7.5884
3.7718,-7.8158
4.0281,-8.0833
4.4196,-8.3602
4.8339,-8.6072
5.1472,-8.8148
5.517,-9.0122
5.887,-9.1897
6.3024,-9.3372
6.8069,-9.5739
7.234,-9.6816
7.6728,-9.7495
8.0325,-9.8376
8.4263,-9.8957
8.9331,-9.9235
9.4172,-9.9713
9.8906,-9.9595
10.33,-9.9677
10.9162,-9.9555
11.3904,-9.874
11.8418,-9.8126
12.3613,-9.7111
12.9378,-9.5497
13.266,-9.4191
13.7975,-9.248
14.2171,-8.9977
14.6472,-8.827
15.0216,-8.5968
15.5097,-8.2667
15.941,-7.9766
16.2822,-7.6869
16.5892,-7.4371
16.7944,-7.2175
17.0562,-6.9778
17.2842,-6.7283
17.5014,-6.449
17.7533,-6.0702
18.0609,-5.7607
18.2664,-5.5212
18.4391,-5.1725
18.6681,-4.8434
18.8743,-4.5244
19.0132,-4.1857
19.1522,-3.8371
19.2912,-3.4886
19.4193,-3.1002
19.5115,-2.9109
19.6158,-2.642
19.6629,-2.4529
19.7322,-2.2935
19.8031,-1.985
19.8173,-1.7164
19.8203,-1.438
19.8452,-1.2191
19.8591,-0.9704
19.9528,-0.6419
19.9923,-0.1147
19.9943,0.0742
